news_id,title,content,full_story_link,meneos,clicks,karma,positive_votes,anonymous_votes,negative_votes,category,comments,published_date,user,source,source_link,scraped_date
4036038,Los monos voladores,Secuencia de los monos voladores de la película el mago de oz,https://meneame.net/story/los-monos-voladores,24,234,403,22,2,2,cultura,8,2025-03-09 16:20:03,Mark_Renton_1,dailymotion.com,https://www.dailymotion.com/video/xkcfey,2025-03-09 16:24:38
4036046,PACMA denuncia cómo un cazador mata a puñetazos a un zorro mientras otros se ríen en Granada,"En un vídeo publicado en sus redes sociales y de contenido altamente sensible, se aprecia cómo un cazador, rodeado por varios más, zarandea y estrangula con las rodillas a un zorro vivo, mientras le propina puñetazos a dos manos inicialmente, y finalmente le asesta varios golpes con el filo de un cuchillo, todo ello entre risas.  (EL VÍDEO CONTIENE IMÁGENES DE ALTA VIOLENCIA)",https://meneame.net/story/pacma-denuncia-como-cazador-mata-punetazos-zorro-mientras-otros,206,371,381,124,82,0,actualidad,42,2025-03-09 15:55:04,ARRIKITOWN,granadahoy.com,https://www.granadahoy.com/provincia/pacma-denuncia-cazador-mata-punetazos-granada_0_2003486926.html,2025-03-09 16:24:38
4036059,"Alquila un apartamento de Airbnb en Nápoles y lo que enseña del ascensor es lo nunca visto:  ""cada vez que quieres utilizarlo tienes que meter 20 céntimos""","La creadora de contenido ha enseñado la particularidad que tiene el ascensor del edificio en el que ha alquilado un apartamento. ""Cada vez que quieres utilizarlo tienes que meter aquí 20 céntimos para que esto funcione"". ""Nos dijo el dueño del Airbnb que antiguamente se hacía con liras, hasta el año pasado eran 10 céntimos y ahora lo han ampliado a 20 céntimos"".",https://meneame.net/story/alquila-apartamento-airbnb-napoles-ensena-ascensor-nunca-visto,76,883,403,43,33,2,ocio,61,2025-03-09 15:30:02,Dragstat,huffingtonpost.es,https://www.huffingtonpost.es/virales/alquila-apartamento-airbnb-napoles-ensena-ascensor-nunca-visto.html,2025-03-09 16:24:38
4035948,La ‘Ilustración oscura’: la secta filosófica ultracapitalista tras la extrema derecha,"Si a finales del XVIII se alzó una Reacción que buscaba restaurar el absolutismo en Europa, ahora surge en EEUU la Neorreacción, que pretende convertir las democracias liberales en dictaduras lideradas por consejeros delegados. Es la constatación de que la democracia es el último obstáculo al capitalismo",https://meneame.net/story/ilustracion-oscura-secta-filosofica-ultracapitalista-tras,125,490,387,69,56,0,politica,17,2025-03-09 14:50:03,casicasi,eldiario.es,https://www.eldiario.es/cultura/ilustracion-oscura-secta-filosofica-ultracapitalista-extrema-derecha_1_12111492.html,2025-03-09 16:24:38
4035981,"El planeta se rearma: así se comparan los arsenales militares y nucleares de Estados Unidos, Rusia y la Unión Europea","Más por obligación que por decisión, Europa se quiere emancipar. Y eso implica saber defenderse sola, sin recurrir al hermano (mayor) de Washington. ""La seguridad de Ucrania es la seguridad de Europa"", se repitió en la cumbre del Consejo Europeo de este jueves. Pero, ¿con qué cuenta la UE si de defensa se trata? Con bastante, pero con poco si nos comparamos con EEUU o Rusia.",https://meneame.net/story/planeta-rearma-asi-comparan-arsenales-militares-nucleares-unidos,92,2628,411,51,41,1,actualidad,61,2025-03-09 14:00:02,karakol,20minutos.es,https://www.20minutos.es/internacional/quien-tiene-mas-poder-militar-entre-estados-unidos-rusia-y-la-union-europea-5688971/,2025-03-09 16:24:38
4035998,"""¿Qué pasaría si en el futuro las dos potencias nucleares decidieran dividirse el mundo?"": cómo De Gaulle justificó hace 65 años un plan nuclear francés independiente de EE.UU. y la URSS","Al final, Charles de Gaulle tenía razón. ""Sin duda, el equilibrio que se establezca entre el poder atómico de ambos bandos es, por el momento, un factor de paz mundial. Pero ¿quién puede decir qué ocurrirá mañana?"", planteó el mandatario en un discurso, en noviembre de 1959. ""Podemos imaginar, por ejemplo, que, en un escenario terrible, Europa Occidental sea aniquilada por Moscú y Europa Central, por Washington. ¿Y quién puede decir que los dos rivales, a consecuencia de no sé qué convulsión política y social, no acabarán uniéndose?"".",https://meneame.net/story/pasaria-futuro-dos-potencias-nucleares-decidieran-dividirse-como,142,571,384,74,68,0,actualidad,30,2025-03-09 13:40:03,Dragstat,bbc.com,https://www.bbc.com/mundo/articles/cg4k2z1v6gzo,2025-03-09 16:24:38
4035977,"Al PP le sale el tiro por la culata: Feijóo, Ayuso y Mazón protagonistas de un nuevo video hecho con IA","Habemus nuevo vídeo hecho con IA, esta vez dirigido al lado contrario. ""Qué facil es hacer vídeos con inteligencia artificial, ¿eh Feijóo?"", ha publicado en X el politólogo Alán Barroso. ""Lo que pasa"", prosigue el vídeo, ""es que eso lo podemos hacer todos"". El montaje pasa a mostrar al presidente del Partido Popular, además de a dos de sus barones, Isabel Díaz Ayuso, presidenta de la Comunidad de Madrid, y Carlos Mazón, su homólogo en la Comunidad Valenciana, como protagonistas de una película de acción.",https://meneame.net/story/pp-sale-tiro-culata-feijoo-ayuso-mazon-protagonistas-nuevo-video,286,4550,461,131,155,8,actualidad,64,2025-03-09 13:15:02,Ludovicus,elplural.com,https://www.elplural.com/sociedad/pp-sale-tiro-culata-feijoo-ayuso-mazon-protagonistas-nuevo-video-hecho-ia_347974102,2025-03-09 16:24:38
4036000,Detenido un hombre tras pasar más de 16 horas encaramado a la torre del Big Ben enarbolando una bandera palestina (incluye vídeo),"El hombre que se ha encaramado portando una bandera palestina a la Torre de Isabel que alberga el insigne reloj del Big Ben, en el Palacio de Westminster, la sede del Parlamento del Reino Unido, ha descendido tras más de 16 horas y ya ha sido detenido.",https://meneame.net/story/detenido-hombre-tras-pasar-mas-16-horas-encaramado-torre-big-ben,231,425,401,119,112,2,mnm,36,2025-03-09 12:55:02,Mark_Renton_1,europapress.es,https://www.europapress.es/internacional/noticia-hombre-encarama-torre-big-ben-enarbolando-bandera-palestina-20250308110037.html,2025-03-09 16:24:38
4035937,Rusia abre una base aérea para acoger a refugiados sirios,"El ejército ruso abrió el 7 de marzo la base aérea de Khmeimim, en la costa Siria, a cientos de refugiados alauitas.",https://meneame.net/story/rusia-abre-base-aerea-acoger-refugiados-sirios,157,278,376,77,80,11,actualidad,34,2025-03-09 12:30:03,Tkachenko,southfront.press,https://southfront.press/russia-opens-air-base-for-refugees-as-toll-from-syrian-coast-rebellion-exceeds-230-photos-video/,2025-03-09 16:24:38
4035985,La policía alemana ataca violentamente a mujeres manifestantes,La policía alemana ataca a mujeres manifestantes pro palestinas durante la marcha del 8M,https://meneame.net/story/policia-alemana-ataca-violentamente-mujeres-manifestantes,289,2028,365,120,169,5,actualidad,91,2025-03-09 11:35:02,El_Tio_Istvan,x.com,https://x.com/SuppressedNws/status/1898486488121168070?t=kHgm6ggkoxJWvU68T7KHnQ&s=19,2025-03-09 16:24:38
