news_id,title,content,full_story_link,meneos,clicks,karma,positive_votes,anonymous_votes,negative_votes,category,comments,published_date,user,source,source_link,scraped_date
4034343,¿Como logro EE.UU. quedarse con la mitad de México?,"La guerra entre México y Estados Unidos, a continuación de la guerra de independecia de Texas, arrebató a México el 55% del territorio que había heredado del Virreinato de Nueva España. ¿Cómo consiguió provocar aquel conflicto Estados Unidos para justificar su invasión? ¿Y por qué no se quedó con todo el país?",https://meneame.net/story/como-logro-ee-uu-quedarse-mitad-mexico,140,1278,418,65,75,1,cultura,34,2025-03-05 05:15:02,Calif,youtube.com,https://www.youtube.com/watch?si=vk-Rzm0sDjfplL21&v=4YKC2MLPGho,2025-03-05 11:07:12
4034298,"Israel lanzó más de 10.000 toneladas de explosivos sobre Jabalia, Gaza, destruyendo el 90% de los edificios","Asi se ve el campo de refugiados de Jabalia, el mayor de los 8 campamentos de refugiados de la franja de Gaza, donde vivían más de 200.000 palestinos y había una red educativa de 25 escuelas infantiles.",https://meneame.net/story/israel-lanzo-mas-10-000-toneladas-explosivos-sobre-jabalia-gaza,313,438,403,120,193,2,actualidad,9,2025-03-05 04:45:03,Tkachenko,x.com,https://x.com/ECSaharaui__/status/1897011973751234984,2025-03-05 11:07:12
4034295,El comisario alemán de antisemitismo alaba el plan de limpieza étnica de Gaza de Trump (ALE),"El comisario antisemitismo del Gobierno federal, Felix Klein, elogió el plan de reconstrucción del presidente estadounidense Donald Trump para la Franja de Gaza. ""No creo que sea un error pensar de forma radical y completamente nueva"", declaró Klein al ""Neue Osnabrücker Zeitung"" (NOZ).",https://meneame.net/story/comisario-aleman-antisemitismo-alaba-plan-limpieza-etnica-gaza,194,197,373,91,103,2,actualidad,43,2025-03-05 04:00:03,Tkachenko,presseportal.de,https://www.presseportal.de/pm/58964/5982980+(ALE),2025-03-05 11:07:12
4034274,"Las imponentes tumbas excavadas en la roca y el palacio del Anaktoron de Pantálica, la conexión micénica de Sicilia","Hacia el siglo XII a.C., Pantálica comenzó a consolidarse como un próspero centro de poder, siendo el hogar de un pequeño reino que, según algunos arqueólogos, podría estar vinculado con la antigua ciudad de Hybla. El rey Hiblón, mencionado en textos antiguos, habría sido el soberano de esta región. Durante este período, la necrópolis se expande y se diversifica, con la construcción de miles de tumbas excavadas en la roca, que se distribuyen por todo el altiplano.",https://meneame.net/story/imponentes-tumbas-excavadas-roca-palacio-anaktoron-pantalica,79,641,384,42,37,0,cultura,0,2025-03-05 03:10:04,Ripio,labrujulaverde.com,https://www.labrujulaverde.com/2025/03/las-imponentes-tumbas-excavadas-en-la-roca-y-el-palacio-del-anaktoron-de-pantalica-la-conexion-micenica-de-sicilia,2025-03-05 11:07:12
4034330,"Trump estudia ahora aliviar los aranceles a México y Canadá, según su secretario de Comercio","Dentro de su caótica política comercial, el presidente de Estados Unidos, Donald Trump, se plantea dar un nuevo bandazo tras haber provocado un terremoto más en los mercados financieros. No hay nada confirmado y cualquier posibilidad está abierta a la arbitrariedad del ocupante de la Casa Blanca, pero el secretario de Comercio, Howard Lutnick, asegura que Trump se plantea un alivio en los aranceles del 25% impuestos a México y Canadá (del 10% al petróleo y gas canadiense).",https://meneame.net/story/trump-estudia-ahora-aliviar-aranceles-mexico-canada-segun,158,395,388,69,89,0,actualidad,73,2025-03-05 02:25:02,Bifaz,elpais.com,https://elpais.com/internacional/2025-03-04/trump-estudia-ahora-aliviar-los-aranceles-a-mexico-y-canada-segun-su-secretario-de-comercio.html,2025-03-05 11:07:12
4034268,BlackRock compra los puertos del Canal de Panamá operados por CK Hutchison por 21.654 millones,"El consorcio BlackRock-TiL y CK Hutchison han llegado este martes a un principio de acuerdo mediante el cual el consorcio BlackRock-TiL adquirirá la participación del 90% de HPH en Panama Ports Company, subsidiaria de una multinacional basada en Hong Kong, que opera dos puertos adyacentes al Canal de Panamá, por 21.654 millones de euros. Este movimiento de la gestora estadounidense de fondos llega un mes después de que el presidente de EE UU, Donald Trump, anunciase su intención de tomar el control del Canal de Panamá.",https://meneame.net/story/blackrock-compra-puertos-canal-panama-operados-ck-hutchison-21,190,277,398,89,101,0,actualidad,24,2025-03-05 01:40:02,jm22381,larazon.es,https://www.larazon.es/economia/blackrock-compra-puertos-canal-panama-operados-hutchison-21650-millones_2025030467c73628829a0900019b20bc.html,2025-03-05 11:07:12
4034266,"Un legislador de Iowa monta en cólera contra sus colegas por aprobar un proyecto de ley antitrans: ""¡Qué vergüenza, cristianos!"" (Eng)","El senador estatal Tony Bisignano arremetió contra sus colegas cristianos por anular la protección de los derechos civiles de los transexuales de Iowa. Se mostró especialmente furioso con el promotor de la ley, el senador Jason Schultz, por acelerarla, rechazar las enmiendas de los demócratas y sentirse ""orgulloso"" de este retroceso de los derechos sin molestarse siquiera en defender la ley durante el debate. (Resulta que Schultz también dirige un estudio bíblico semanal en el Capitolio de Iowa).",https://meneame.net/story/legislador-iowa-monta-colera-contra-colegas-aprobar-proyecto-ley,193,373,439,78,115,1,actualidad,25,2025-03-05 01:00:02,Verdaderofalso,friendlyatheist.com,https://www.friendlyatheist.com/p/iowa-lawmaker-rages-against-colleagues,2025-03-05 11:07:12
4034064,Von der Leyen presenta un plan de rearme de 800.000 millones y permitirá desviar fondos de cohesión a la defensa,"La presidenta de la Comisión Europea insta a los gobiernos a aumentar en gasto militar en un 1,5% del PIB a través de la relajación de la disciplina fiscal y propone 150.000 millones de euros en préstamos para inversiones en defensa",https://meneame.net/story/von-der-leyen-presenta-plan-rearme-800-000-millones-permitira,197,305,397,101,96,0,actualidad,131,2025-03-05 00:35:03,Tkachenko,eldiario.es,https://www.eldiario.es/internacional/von-der-leyen_1_12101165.html,2025-03-05 11:07:12
4034280,"'7.291', la reivindicación de familiares de fallecidos en residencias en Madrid en pandemia, se cuela en ARCO 2025","'7.291', obra del artista Ramón Mateos que hace referencia al documental homónimo de Diego Galán y recibe el mismo nombre que la plataforma de familiares de fallecidos en las residencias de la Comunidad de Madrid durante la pandemia, es una de las piezas presentes en ARCO 2025.",https://meneame.net/story/7-291-reivindicacion-familiares-fallecidos-residencias-madrid,341,450,487,133,208,4,actualidad,15,2025-03-04 23:55:02,CosasQueLees,europapress.es,https://www.europapress.es/cultura/noticia-7291-reivindicacion-familiares-fallecidos-residencias-madrid-pandemia-cuela-arco-2025-20250304193810.html,2025-03-05 11:07:12
4034249,"Los estudiantes de EEUU que participen en manifestaciones ""ilegales"" serán encarcelados o expulsados permanentemente [EN]","Detendrá toda la financiación federal para las universidades y escuelas que permitan protestas ""ilegales"".",https://meneame.net/story/estudiantes-eeuu-participen-manifestaciones-ilegales-seran,363,595,450,156,207,1,actualidad,71,2025-03-04 23:35:02,Icelandpeople,reuters.com,https://www.reuters.com/world/us/trump-says-federal-funding-will-stop-colleges-schools-allowing-illegal-protests-2025-03-04/,2025-03-05 11:07:12
4034307,"El misterio de Miguel Morales, el yesero que murió dos veces: sus hijas lo 'enterraron' en 1994... y tras la dana de Valencia","Las hijas de Miguel Morales aún no son capaces de salir de su estupefacción. En 1984, su padre desapareció sin dejar rastro. Diez años después, en 1994, fue dado por muerto. Tanto ellas como su esposa tuvieron que 'enterrarlo' en sus corazones para siempre. Lo que no sabían es que su padre en realidad fallecería casi cuatro décadas después, con 72 años, durante las inundaciones de la dana de Valencia. Su cuerpo fue encontrado en noviembre en Quart de Poblet, en un campo de naranjas.",https://meneame.net/story/misterio-miguel-morales-yesero-murio-dos-veces-hijas-enterraron,142,3107,478,72,70,1,actualidad,35,2025-03-04 23:15:02,Pixmac,elespanol.com,https://www.elespanol.com/reportajes/20250304/misterio-miguel-morales-yesero-murio-veces-hijas-enterraron-dana-valencia/928657542_0.html,2025-03-05 11:07:12
4034230,"Zelenski lamenta el choque con Trump, acepta ""trabajar bajo su liderazgo"" y propone por primera vez a Putin una tregua parcial","El presidente ucraniano, Volodímir Zelenski, ha respondido ya al ultimátum planteado este lunes por Trump tras retirarle la ayuda militar a Ucrania. El mandatario ha reconocido a través de redes sociales que la reunión que mantuvo con el presidente estadounidense el pasado viernes en el Despacho Oval ""no salió como se esperaba"" y ""lamenta que sucediera así""",https://meneame.net/story/zelenski-lamenta-choque-trump-acepta-trabajar-bajo-liderazgo-vez,180,604,459,85,95,0,actualidad,150,2025-03-04 22:55:02,turuleto,20minutos.es,https://www.20minutos.es/internacional/zelenski-lamenta-choque-con-trump-despacho-oval-acepta-trabajar-bajo-su-liderazgo-5687953/,2025-03-05 11:07:12
4034285,"La Meditaciones de Marco Aurelio, la nueva biblia del conformismo moderno para emprendedores de LinkedIn y asalariados resignados","El malentendido comienza con la imagen que se ha construido en torno a Marco Aurelio. Al parecer, ha pasado de ser el último de los «cinco buenos emperadores» —lo que, teniendo en cuenta la competencia, tampoco es para sacar pecho— a convertirse en una especie de gurú del crecimiento personal. Y todo porque escribió un diario privado en el que intentaba convencerse de que la vida no era tan miserable como parecía.",https://meneame.net/story/meditaciones-marco-aurelio-nueva-biblia-conformismo-moderno,126,1597,485,63,63,2,cultura,52,2025-03-04 22:40:03,PasaPollo,jotdown.es,https://www.jotdown.es/2025/03/la-meditaciones-de-marco-aurelio-la-nueva-biblia-del-conformismo-moderno-para-emprendedores-de-linkedin-y-asalariados-resignados/,2025-03-05 11:07:12
4034267,El tricampeón olímpico y ex diputado de Putin Bubaisar Saitiev muere al caer por una ventana,"Bubaisar Saitiev, deportista ruso de origen checheno, tricampéon olímpico y que fue elegido como mejor luchador del mundo varias veces por la Federación Internacional de lucha, ha fallecido en Moscú a los 49 años de edad en circunstancias extrañas, tras caer por la ventana de su domicilio. Saltiev, que era también presidente de la Federación Rusa de lucha, fue encontrado tendido en una acera, sin signos visibles de violencia.",https://meneame.net/story/tricampeon-olimpico-ex-diputado-putin-bubaisar-saitiev-muere,202,500,425,100,102,0,actualidad,81,2025-03-04 22:20:03,IVAJ,marca.com,https://www.marca.com/otros-deportes/2025/03/04/tricampeon-olimpico-ex-diputado-putin-bubaisar-saitiev-muere-caer-ventana.html,2025-03-05 11:07:12
4034273,Muere Felipe Campuzano,"Autor de éxitos como 'Amigo conductor', 'Achilipú' o 'Te estoy amando locamente'.  El músico, de 79 años, ha sido hallado muerto por un familiar en su vivienda de Marbella",https://meneame.net/story/muere-felipe-campuzano,130,1200,431,74,56,0,actualidad,13,2025-03-04 22:05:03,noloquiero,elmundo.es,https://www.elmundo.es/cultura/musica/2025/03/04/67c7368ce85ece7a6d8b4583.html,2025-03-05 11:07:12
