news_id,title,content,full_story_link,meneos,clicks,karma,positive_votes,anonymous_votes,negative_votes,category,comments,published_date,user,source,source_link,scraped_date,provincia,comunidad
4038266,Una lista de programas increíbles para Linux [ENG],Este repo es una colección de aplicaciones y herramientas de Linux para cualquier usuario / desarrollador. Todas las recomendaciones y sugerencias son bienvenidas.,https://meneame.net/story/lista-programas-increibles-linux-eng,0,3185.0,382,80,60,2,Tecnología y Ciencia,24,2025-03-15 13:20:03,geralt_,github.com,https://github.com/luong-komorebi/Awesome-Linux-Software,2025-03-15 19:12:42,,
4038243,Una antigua tumba en Mongolia revela las espantosas muertes por desmembramiento de los guerreros Han (ENG),"Han descubierto una fosa común que contiene los restos de soldados Han que lucharon contra el pueblo nómada Xiongnu hace más de 2000 años. El descubrimiento ofrece una perspectiva sobre la brutalidad de las antiguas guerras y prácticas de ejecución durante los conflictos Han-Xiongnu. “La ejecución por desmembramiento fue la forma más vergonzosa de ejecución”, dijo Kovalev. “La llevaban a cabo los enemigos para que las almas de estas personas jamás pudieran renacer”.",https://meneame.net/story/antigua-tumba-mongolia-revela-espantosas-muertes-desmembramiento,0,1232.0,386,47,39,0,Entretenimiento y Cultura,19,2025-03-15 13:05:03,Ripio,greekreporter.com,https://greekreporter.com/2025/03/15/ancient-grave-mongolia-han-warriors-deaths-dismemberment/,2025-03-15 19:12:42,,
4038122,"""¡Boicot a EE. UU.!"": la reacción a los aranceles de Trump","La postura inflexible de la administración Trump respecto de los aranceles desencadenan campañas de boicot contra los productos estadounidenses por parte de consumidores y empresa. Los países escandinavos y Canadá están al frente de una creciente tendencia internacional, en la cual algunos consumidores están evitando comprar productos de Estados Unidos debido a la decisión del presidente estadounidense, Donald Trump, de imponer aranceles a una serie de productos de todo el mundo.",https://meneame.net/story/boicot-ee-uu-reaccion-aranceles-trump,0,1275.0,350,113,148,0,Política y Sociedad,58,2025-03-15 13:00:03,capitan__nemo,dw.com,https://www.dw.com/es/boicot-a-estados-unidos-la-reacción-a-los-aranceles-de-trump/a-71915875,2025-03-15 19:12:42,,
4038276,Se ha filtrado el borrador de ley de universidades que está preparando la CAM,"Si se aprueba, será la muerte de la universidad pública madrileña. Es escandaloso. No exagero. Se vienen tiempos oscuros como no espabilemos. Explico algunos puntos críticos. Va hilo.",https://meneame.net/story/ha-filtrado-borrador-ley-universidades-esta-preparando-cam,0,2461.0,356,149,193,4,Política y Sociedad,97,2025-03-15 12:35:02,Tkachenko,threadreaderapp.com,https://threadreaderapp.com/thread/1900654335220166767.html,2025-03-15 19:12:42,,
4038251,"Condenan a 31 años de cárcel a un hombre por apalizar, robar y violar a una mujer en pleno centro de Santa Cruz de Tenerife","Además, propinó a la víctima una “paliza brutal”, tal y como recoge la sentencia, dándole fuertes y reiterados golpes con la mano abierta, puñetazos, empujones contra muebles, agarrones, zarandeos, tirones de pelo, patadas y hasta intentos de estrangulamiento. La paliza duró más de diez minutos y la Audiencia incide en que la violencia empleada por el agresor fue “feroz, cruel y desproporcionada, incluso para el fin que pretendía de someter a la víctima a su voluntad y de agredirla sexualmente”.",https://meneame.net/story/condenan-31-anos-carcel-hombre-apalizar-robar-violar-mujer-pleno,0,1127.0,335,105,121,1,Política y Sociedad,87,2025-03-15 12:10:02,plutanasio,diariodeavisos.elespanol.com,https://diariodeavisos.elespanol.com/2025/03/condenan-a-31-anos-de-carcel-a-un-hombre-por-apalizar-robar-y-violar-a-una-mujer-en-pleno-centro-de-santa-cruz-de-tenerife/,2025-03-15 19:12:42,Santa Cruz de Tenerife,Canarias
4038232,La tradicional rendición demócrata (Opinión),"Los demócratas habían prometido que este sería el momento de luchar. Durante las primeras semanas de la administración Trump, las bases habían estado reclamando sin cesar que el partido alzara la voz, se quejara, se opusiera ruidosamente a los recortes salvajes de Elon Musk y sus intentos extraconstitucionales de demoler departamentos enteros del gobierno federal. Exigían una respuesta decidida, enérgica, firme; alguien que les ofreciera un liderazgo sólido y real. La respuesta de sus líderes fue, por un lado, atacarse entre ellos [...]",https://meneame.net/story/tradicional-rendicion-democrata-opinion,0,1242.0,358,74,61,1,Política y Sociedad,31,2025-03-15 11:20:02,themarquesito,4freedoms.es,https://www.4freedoms.es/p/la-tradicional-rendicion-democrata,2025-03-15 19:12:42,,
4038245,“Las drogas lo están volviendo loco”: el biógrafo de Elon Musk da la voz de alarma y dice que es un peligro para el mundo,"En un hilo de Twitter, el escritor ha asegurado que no está en condiciones de desempeñar un rol político actualmente. De hecho, cree que su gestión ""está costando vidas y empleos"". “su cuenta de Twitter es fiel testimonio de su trastorno” y que “alguien que se preocupe por él debería sacarlo de internet”.",https://meneame.net/story/drogas-estan-volviendo-loco-biografo-elon-musk-da-voz-alarma,0,2688.0,391,146,233,5,Política y Sociedad,108,2025-03-15 10:40:02,Verdaderofalso,elconfidencial.com,https://www.elconfidencial.com/amp/tecnologia/2025-03-13/biografo-musk-alerta-loco-drogas-1qrt_4085112/,2025-03-15 19:12:42,,
4038225,Portada de lavoz.es un día después (08:50h) de dar la Xunta luz verde al proyecto de Altri,"Un día después de la autorización de Altri por parte de la Xunta, la portada de este diario omite cualquier mención a este asunto. Recordemos que La Voz recibió 800.000€ de la Xunta en ayudas en 2024.",https://meneame.net/story/portada-lavoz-dia-despues-dar-xunta-luz-verde-proyecto-altri,0,1999.0,375,114,168,7,Política y Sociedad,30,2025-03-15 10:25:03,sesky,lavozdegalicia.com,http://lavozdegalicia.com,2025-03-15 19:12:42,,
4038117,Las perspectivas del sarampión en EE.UU. son tan malas que los expertos sanitarios piden actualizar las directrices sobre vacunas [EN],"Después de que el sarampión se declarara eliminado en EE.UU. en 2000 y que la inmunidad de grupo era alta, los expertos en salud recomendaron que los niños estadounidenses reciban dos dosis de la vacuna contra el sarampión, las paperas y la rubéola, la primera entre los 12 y los 15 meses de edad y la segunda entre los 4 y los 6 años, antes de empezar la escuela. (...) Pero si viajan a un lugar donde la inmunidad de grupo no es fiable, los expertos recomiendan que los lactantes de 6 a 11 meses reciban reciban una dosis temprana (...)",https://meneame.net/story/perspectivas-sarampion-ee-uu-son-tan-malas-expertos-sanitarios,0,396.0,373,94,138,0,Tecnología y Ciencia,45,2025-03-15 10:05:02,cernicalo,arstechnica.com,https://arstechnica.com/health/2025/03/collapsing-us-herd-immunity-to-measles-spurs-experts-to-call-for-extra-mmr-dose/,2025-03-15 19:12:42,,
4038190,"""Limpiaremos Gaza de todo asesino potencial, y allí todos son asesinos potenciales. Limpiaremos todo, ya no habrán más (palestinos)""","Michal Woldiger, diputada del parlamento sionista, llama al exterminio de Gaza, donde según ella, hasta los bebés son asesinos potenciales.",https://meneame.net/story/limpiaremos-gaza-todo-asesino-potencial-alli-todos-son-asesinos,0,458.0,395,144,194,2,Política y Sociedad,68,2025-03-15 09:45:02,Tkachenko,x.com,https://x.com/DaniMayakovski/status/1900771910394196073,2025-03-15 19:12:42,,
